date,temperature_2m_mean_mato_grosso,temperature_2m_max_mato_grosso,temperature_2m_min_mato_grosso,precipitation_sum_mato_grosso,soil_moisture_0_to_7cm_mean_mato_grosso,soil_moisture_7_to_28cm_mean_mato_grosso,soil_moisture_28_to_100cm_mean_mato_grosso,soil_moisture_0_to_100cm_mean_mato_grosso,soil_temperature_0_to_7cm_mean_mato_grosso,et0_fao_evapotranspiration_sum_mato_grosso,relative_humidity_2m_mean_mato_grosso,vapour_pressure_deficit_max_mato_grosso,wet_bulb_temperature_2m_mean_mato_grosso,snowfall_water_equivalent_sum_mato_grosso,wind_speed_10m_max_mato_grosso,temperature_2m_mean_parana,temperature_2m_max_parana,temperature_2m_min_parana,precipitation_sum_parana,soil_moisture_0_to_7cm_mean_parana,soil_moisture_7_to_28cm_mean_parana,soil_moisture_28_to_100cm_mean_parana,soil_moisture_0_to_100cm_mean_parana,soil_temperature_0_to_7cm_mean_parana,et0_fao_evapotranspiration_sum_parana,relative_humidity_2m_mean_parana,vapour_pressure_deficit_max_parana,wet_bulb_temperature_2m_mean_parana,snowfall_water_equivalent_sum_parana,wind_speed_10m_max_parana,temperature_2m_mean_rio_grande_sul,temperature_2m_max_rio_grande_sul,temperature_2m_min_rio_grande_sul,precipitation_sum_rio_grande_sul,soil_moisture_0_to_7cm_mean_rio_grande_sul,soil_moisture_7_to_28cm_mean_rio_grande_sul,soil_moisture_28_to_100cm_mean_rio_grande_sul,soil_moisture_0_to_100cm_mean_rio_grande_sul,soil_temperature_0_to_7cm_mean_rio_grande_sul,et0_fao_evapotranspiration_sum_rio_grande_sul,relative_humidity_2m_mean_rio_grande_sul,vapour_pressure_deficit_max_rio_grande_sul,wet_bulb_temperature_2m_mean_rio_grande_sul,snowfall_water_equivalent_sum_rio_grande_sul,wind_speed_10m_max_rio_grande_sul
2005-01-01,25.323832,30.328,22.377998,2.1000001,0.4802917,0.49124995,0.45429167,0.463873,25.875917,4.335251,85.98225,1.6098523,23.370798,0.0,5.8603754,22.236168,27.5695,18.3195,5.7,0.38070834,0.39750007,0.4371666,0.42488465,23.323668,4.8570547,81.99688,1.4095199,19.83921,0.0,10.823973,23.458664,29.6295,18.179499,0.0,0.259375,0.32125008,0.38104174,0.3599687,25.414917,6.6070633,65.181496,2.4886332,18.493456,0.0,16.45007
2005-01-02,24.665497,28.877998,22.528,3.7,0.47833332,0.48099992,0.45499995,0.46209338,25.398832,3.3880916,87.125206,1.0771029,22.935835,0.0,6.9153743,21.815332,27.1695,18.1695,4.8,0.41437495,0.39341664,0.4351666,0.42494372,22.76325,4.5607796,78.373566,1.5083005,18.948437,0.0,11.159999,25.350328,31.5795,18.7795,0.1,0.25449994,0.31779164,0.3786666,0.3571912,26.412834,5.4199033,65.307945,2.9616644,20.169966,0.0,15.256526
2005-01-03,24.682167,28.528,21.627998,9.699999,0.5027083,0.49212506,0.45599988,0.46685585,25.382166,3.6102483,88.137215,1.2972908,23.055735,0.0,7.4128532,19.361166,21.5695,18.119501,19.300001,0.4651667,0.4178333,0.434,0.43278667,20.634083,1.6612803,92.202354,0.290792,18.407696,0.0,11.090103,23.137835,26.3295,20.929499,20.0,0.33816668,0.31741667,0.37699994,0.36176917,24.564917,3.6775613,79.67843,1.0342836,20.47333,0.0,13.698934
2005-01-04,24.705084,28.977999,22.428,14.300001,0.47141668,0.49275005,0.46179166,0.4689667,25.309248,3.6227365,89.056915,1.186388,23.22519,0.0,6.696387,19.327835,22.7195,17.9195,13.300001,0.49275005,0.46895835,0.4342501,0.44563374,20.342417,2.2859843,92.21389,0.6028917,18.363129,0.0,10.446206,23.373251,28.0295,18.679499,6.6,0.4305,0.3271667,0.37645838,0.36989006,24.65033,5.3597546,75.33486,1.6054995,20.003534,0.0,9.793059
2005-01-05,23.573835,25.778,22.278,19.400003,0.47858337,0.49270836,0.472375,0.4770796,24.496744,2.3382378,97.01966,0.27193427,23.205881,0.0,6.763786,19.607,23.4695,17.4695,2.0000002,0.4910833,0.48683333,0.43666658,0.45101082,20.49867,2.4590871,91.29197,0.71744347,18.51143,0.0,7.729527,23.827415,29.0795,18.0795,0.1,0.40704167,0.33166656,0.3749583,0.36811292,24.894081,5.960326,72.08413,2.138384,19.868097,0.0,11.753877
2005-01-06,24.103003,26.977999,21.778,14.000001,0.48779166,0.49475,0.4845415,0.48691297,24.680082,3.297758,92.29731,0.7294793,23.080393,0.0,6.489992,20.736166,24.4195,18.5195,5.4000006,0.48454162,0.48525,0.43879163,0.4517504,21.192417,3.171617,87.03245,0.8734987,19.089691,0.0,7.5942073,24.252417,30.429499,17.929499,0.0,0.36991668,0.33,0.37308338,0.3638142,25.496168,6.5290627,68.354164,2.623566,19.622341,0.0,12.245293
2005-01-07,25.711334,31.477999,21.627998,3.8999999,0.4879584,0.486125,0.48591658,0.48610333,25.786333,4.838289,86.467766,1.9190514,23.772041,0.0,5.6920996,21.963251,26.7195,18.0195,4.8,0.48074993,0.484,0.44066668,0.45257255,22.51325,4.8707013,85.1746,1.1876283,19.99896,0.0,9.227524,25.279501,32.1295,17.5295,0.0,0.339875,0.32662496,0.37108326,0.35956255,26.333666,6.4372115,65.89152,2.9209094,20.192385,0.0,9.3669195
2005-01-08,26.382166,32.028,23.078,2.9,0.48608336,0.48212492,0.48366663,0.48351213,26.4905,4.622166,86.26281,2.089552,24.384077,0.0,5.1165614,22.054918,26.5195,18.6695,4.2000003,0.47966662,0.48012492,0.4419584,0.45261297,22.87992,4.237109,87.73061,1.0230615,20.430748,0.0,6.4799995,26.081583,32.8795,20.179499,2.5,0.3239583,0.32312503,0.36908332,0.3562733,27.369085,5.910023,71.98138,2.6024697,21.986458,0.0,8.350138
2005-01-09,25.494665,28.678,23.328,6.6999993,0.49358332,0.48441663,0.48162493,0.48304832,26.073835,3.4135013,90.7518,0.95176125,24.246347,0.0,5.1165614,21.377836,25.0195,18.8195,0.3,0.47687495,0.47574988,0.4429166,0.45218882,22.152832,2.6628506,89.73011,0.7118945,20.058508,0.0,10.041354,25.758669,31.779501,21.5295,7.9000006,0.35116664,0.32041678,0.36749998,0.35646915,27.256584,5.112723,81.46739,2.0712752,23.128859,0.0,10.829959
2005-01-10,25.248833,29.877998,23.127998,10.700001,0.4773333,0.4935,0.4829999,0.48480836,25.834251,3.4950612,89.39984,1.373636,23.80777,0.0,7.92,20.865335,23.7695,19.2195,14.700001,0.46970832,0.4837084,0.44400004,0.45413837,21.892418,2.542334,92.64493,0.5443003,19.931723,0.0,11.304229,22.596169,25.679499,21.179499,15.0,0.4540001,0.3345833,0.367,0.36628258,24.342001,2.1702049,91.441315,0.8371992,21.49916,0.0,15.778518
