date,temperature_2m_mean_central_iowa,temperature_2m_max_central_iowa,temperature_2m_min_central_iowa,precipitation_sum_central_iowa,soil_moisture_0_to_7cm_mean_central_iowa,soil_moisture_7_to_28cm_mean_central_iowa,soil_moisture_28_to_100cm_mean_central_iowa,soil_moisture_0_to_100cm_mean_central_iowa,soil_temperature_0_to_7cm_mean_central_iowa,et0_fao_evapotranspiration_sum_central_iowa,relative_humidity_2m_mean_central_iowa,vapour_pressure_deficit_max_central_iowa,wet_bulb_temperature_2m_mean_central_iowa,snowfall_water_equivalent_sum_central_iowa,wind_speed_10m_max_central_iowa,temperature_2m_mean_central_illinois,temperature_2m_max_central_illinois,temperature_2m_min_central_illinois,precipitation_sum_central_illinois,soil_moisture_0_to_7cm_mean_central_illinois,soil_moisture_7_to_28cm_mean_central_illinois,soil_moisture_28_to_100cm_mean_central_illinois,soil_moisture_0_to_100cm_mean_central_illinois,soil_temperature_0_to_7cm_mean_central_illinois,et0_fao_evapotranspiration_sum_central_illinois,relative_humidity_2m_mean_central_illinois,vapour_pressure_deficit_max_central_illinois,wet_bulb_temperature_2m_mean_central_illinois,snowfall_water_equivalent_sum_central_illinois,wind_speed_10m_max_central_illinois,temperature_2m_mean_central_indiana,temperature_2m_max_central_indiana,temperature_2m_min_central_indiana,precipitation_sum_central_indiana,soil_moisture_0_to_7cm_mean_central_indiana,soil_moisture_7_to_28cm_mean_central_indiana,soil_moisture_28_to_100cm_mean_central_indiana,soil_moisture_0_to_100cm_mean_central_indiana,soil_temperature_0_to_7cm_mean_central_indiana,et0_fao_evapotranspiration_sum_central_indiana,relative_humidity_2m_mean_central_indiana,vapour_pressure_deficit_max_central_indiana,wet_bulb_temperature_2m_mean_central_indiana,snowfall_water_equivalent_sum_central_indiana,wind_speed_10m_max_central_indiana
2005-01-01,-2.3450832,5.7695,-6.0305004,5.1,0.36145833,0.3347917,0.31799993,0.32456833,-0.82008344,0.6673702,68.889046,0.25399452,-4.201002,0.0,24.248613,4.89825,13.2045,1.2544999,5.1000004,0.37612498,0.36370826,0.376875,0.37405753,4.239917,0.6687883,76.615685,0.3249971,2.9151986,0.0,22.751316,7.7011666,11.322,4.572,2.3,0.40266666,0.40579167,0.38370827,0.3896729,7.0344996,0.5111377,85.59901,0.29752553,6.31959,0.0,15.596767
2005-01-02,-2.0055006,8.2695,-5.9305,1.3,0.38787505,0.34529173,0.31799993,0.3286225,-0.67841667,0.812461,67.82596,0.34494418,-4.0925727,0.0,19.878391,10.223251,13.554501,4.2045,6.4999995,0.40766665,0.38270834,0.37620828,0.37977543,8.33575,0.2817303,94.98835,0.091428876,9.665441,0.0,22.7057,11.926166,13.622,10.572,3.1999998,0.40612498,0.40291664,0.38554168,0.39063123,9.272,0.24588744,97.39655,0.067885876,11.603864,0.0,19.562946
2005-01-03,-4.0492496,-2.4305,-5.8305,0.4,0.36791667,0.34974995,0.3188751,0.3287917,-1.118,1.0200617,42.215042,0.3323552,-7.2061143,0.6,17.651016,3.5065832,4.4545,2.4545,19.500002,0.4204167,0.42041668,0.38370833,0.3939867,4.82325,0.19369976,95.68409,0.093032956,3.0227654,0.0,15.463246,9.119918,12.922,5.072,42.9,0.42833328,0.42929164,0.40062502,0.40858456,8.8532505,0.17750785,99.31295,0.01525712,8.983825,0.0,14.84318
2005-01-04,-4.8971667,-2.5805,-7.7805004,6.9,0.36066672,0.34999993,0.31929177,0.3286367,-1.3763334,0.72433996,58.71967,0.3266906,-7.3951077,6.9999995,22.768398,2.7149165,3.9545,1.9545,9.7,0.4039583,0.41220832,0.3938334,0.39840087,3.6711674,0.3109335,89.62092,0.14149839,1.7155164,0.0,17.57744,4.6594996,6.672,3.072,6.8,0.40995836,0.42079166,0.42249998,0.42126334,6.0511665,0.47546425,89.585075,0.19043154,3.616751,0.0,13.797912
2005-01-05,-9.418,-8.080501,-10.0305,16.8,0.35545835,0.3494583,0.32000005,0.3286684,-1.768,0.33322528,83.06339,0.061754286,-10.567947,16.8,27.288855,-0.1725833,2.3545,-2.2455,24.1,0.42312503,0.42829165,0.40950003,0.41439998,1.8378333,0.15451962,94.66275,0.039750397,-0.732214,0.8,24.798225,0.56991667,5.072,-1.178,45.9,0.42695835,0.43033338,0.43329167,0.4322271,3.1553335,0.14001435,95.24639,0.05064845,0.050708335,0.0,25.12016
2005-01-06,-14.947166,-9.8805,-18.780499,3.0000002,0.35175,0.34833333,0.3205417,0.3285626,-1.5638332,0.31925094,82.416176,0.043811157,-15.934059,3.2,22.26477,-3.7121668,-2.0455,-5.5955,2.0,0.41058335,0.42204168,0.41691658,0.4175496,0.27325,0.56340814,74.74593,0.17559946,-5.421448,1.7000002,24.216522,-1.4634167,0.222,-3.928,8.400001,0.41545835,0.42287502,0.43250003,0.42928588,1.1886667,0.59362364,79.434135,0.20509374,-2.992303,0.2,27.36947
2005-01-07,-13.599251,-10.330501,-17.8305,0.0,0.34899998,0.34691676,0.32100007,0.32840255,-1.5221667,0.36042926,83.484764,0.048146114,-14.595855,0.0,15.876775,-2.9913337,0.75450003,-6.2955,1.1,0.3952917,0.40937498,0.41583326,0.41303918,-0.4475833,0.7410827,62.554337,0.30310094,-5.531239,1.1,13.979871,-2.3238332,0.82199997,-5.228,0.0,0.3927083,0.40250003,0.42691672,0.4193946,0.04283333,0.7375899,64.276665,0.26249796,-4.822377,0.0,11.966954
2005-01-08,-17.793,-14.4305,-22.6805,0.0,0.34683344,0.3455416,0.3215417,0.328352,-1.5513334,0.29060498,82.40297,0.03690587,-18.693182,0.0,13.493999,-3.6163332,0.0545,-8.1455,3.6,0.38779172,0.39966667,0.4137917,0.40900537,-0.28716668,0.72924817,80.6547,0.24266556,-5.107588,3.6999998,10.661107,-1.3280001,0.622,-3.028,4.7,0.3849999,0.3905833,0.42212495,0.41290256,0.23866665,0.46243,83.48293,0.17709932,-2.709562,4.3999996,13.004922
2005-01-09,-6.082583,0.119500004,-13.7805,0.0,0.34491658,0.3443333,0.322,0.32829407,-1.48675,0.4291194,90.60959,0.059975505,-6.8592143,0.0,24.993437,0.56491673,6.2045,-4.0955,0.0,0.38987502,0.39270842,0.41162512,0.40613008,-0.06216663,0.8123799,84.73879,0.29387563,-0.815623,0.0,18.03237,1.522,6.522,-1.678,0.0,0.38195834,0.3833333,0.41812503,0.40828717,1.1324166,0.9261822,79.85763,0.34418368,-0.2657716,0.0,21.542923
2005-01-10,-8.968,-6.3805003,-11.3805,0.0,0.343375,0.34299994,0.322,0.32790622,-1.3638334,0.3767506,85.19717,0.05746165,-10.020005,0.0,16.24394,1.1274166,3.0045,-1.0455,0.8,0.39208332,0.39079165,0.40950003,0.40435216,1.22325,0.48083457,86.06305,0.17687786,-0.123213015,0.0,14.4,2.6886666,4.6219997,1.072,0.0,0.38604176,0.38062504,0.41466665,0.40551415,3.0261662,0.7440532,81.65815,0.25318742,1.0371588,0.0,18.204042
