date,temperature_2m_mean_kansas,temperature_2m_max_kansas,temperature_2m_min_kansas,precipitation_sum_kansas,soil_moisture_0_to_7cm_mean_kansas,soil_moisture_7_to_28cm_mean_kansas,soil_moisture_28_to_100cm_mean_kansas,soil_moisture_0_to_100cm_mean_kansas,soil_temperature_0_to_7cm_mean_kansas,et0_fao_evapotranspiration_sum_kansas,relative_humidity_2m_mean_kansas,vapour_pressure_deficit_max_kansas,wet_bulb_temperature_2m_mean_kansas,snowfall_water_equivalent_sum_kansas,wind_speed_10m_max_kansas,temperature_2m_mean_oklahoma,temperature_2m_max_oklahoma,temperature_2m_min_oklahoma,precipitation_sum_oklahoma,soil_moisture_0_to_7cm_mean_oklahoma,soil_moisture_7_to_28cm_mean_oklahoma,soil_moisture_28_to_100cm_mean_oklahoma,soil_moisture_0_to_100cm_mean_oklahoma,soil_temperature_0_to_7cm_mean_oklahoma,et0_fao_evapotranspiration_sum_oklahoma,relative_humidity_2m_mean_oklahoma,vapour_pressure_deficit_max_oklahoma,wet_bulb_temperature_2m_mean_oklahoma,snowfall_water_equivalent_sum_oklahoma,wind_speed_10m_max_oklahoma,temperature_2m_mean_north_dakota,temperature_2m_max_north_dakota,temperature_2m_min_north_dakota,precipitation_sum_north_dakota,soil_moisture_0_to_7cm_mean_north_dakota,soil_moisture_7_to_28cm_mean_north_dakota,soil_moisture_28_to_100cm_mean_north_dakota,soil_moisture_0_to_100cm_mean_north_dakota,soil_temperature_0_to_7cm_mean_north_dakota,et0_fao_evapotranspiration_sum_north_dakota,relative_humidity_2m_mean_north_dakota,vapour_pressure_deficit_max_north_dakota,wet_bulb_temperature_2m_mean_north_dakota,snowfall_water_equivalent_sum_north_dakota,wind_speed_10m_max_north_dakota
2005-01-01,12.936249,16.2175,9.4175,0.0,0.25083327,0.2658333,0.22700004,0.23682334,10.611249,0.6979784,90.2161,0.3829968,11.807011,0.0,30.608469,16.088503,19.026,14.076,0.1,0.30145836,0.3102083,0.32537493,0.32051584,14.011416,1.0409049,88.39051,0.6203171,14.705116,0.0,28.594517,-15.322583,-13.258,-17.408,7.2000003,0.24700005,0.22200006,0.18699999,0.19855003,-9.622584,0.21666014,77.42685,0.047820956,-16.431128,7.2000003,21.986542
2005-01-02,1.6841668,12.5675,-0.3325,1.4000001,0.26045835,0.2649999,0.22700004,0.23732209,5.346668,0.64721763,73.80903,0.2160899,-0.43812442,0.0,17.673029,16.361418,18.126,14.826,1.3000001,0.30612502,0.30966666,0.32499993,0.3204588,14.711418,0.7293574,92.220436,0.28143835,15.436855,0.0,20.519999,-20.87675,-18.658,-23.658,0.0,0.24700005,0.22137503,0.18779166,0.19898874,-6.8892503,0.20133834,75.530075,0.04308194,-21.755049,0.0,18.35647
2005-01-03,-2.0345836,-0.4325,-2.8325,10.3,0.346625,0.27183333,0.22700004,0.24478877,1.2925,0.2658056,86.198875,0.14715144,-3.2012024,0.0,12.959999,10.228084,15.376,6.276,18.599998,0.38045835,0.34395835,0.32454154,0.33253336,12.446834,0.6367737,89.95904,0.23085374,9.210741,0.0,15.042659,-21.65592,-15.858,-28.058,0.0,0.24700005,0.22100002,0.18800001,0.19905998,-6.1496677,0.21436706,70.27957,0.07281358,-22.563051,0.0,11.609651
2005-01-04,-3.8137503,-2.0825,-5.6825,17.2,0.37637496,0.29720834,0.22725004,0.25237998,0.22583334,0.30153418,82.02783,0.12902224,-5.2047153,0.90000004,22.7057,3.5926666,6.076,2.326,35.2,0.41629162,0.405625,0.33200002,0.3533617,7.2635,0.24264702,93.982414,0.2229048,2.9598734,0.0,22.89611,-23.483,-17.208,-26.758,0.0,0.24700005,0.22087497,0.18800001,0.19903375,-6.3955,0.17681047,70.88212,0.041644484,-24.228127,0.0,15.937878
2005-01-05,-10.186667,-6.0325,-14.2325,5.3,0.37870833,0.3431249,0.22854172,0.26311585,-0.96166664,0.38095802,76.55164,0.090295225,-11.559516,4.9,24.187069,-3.1885834,1.826,-7.074,42.1,0.42604172,0.4277083,0.36816666,0.38472167,2.4010005,0.4476851,82.21688,0.17352778,-4.432757,0.2,25.264202,-25.762163,-21.108,-28.608,0.0,0.24700005,0.21999997,0.18800001,0.19884999,-14.058,0.17661147,68.48332,0.04731217,-26.343752,0.0,12.387348
2005-01-06,-10.876251,-5.2825,-15.2825,0.0,0.35833332,0.34437492,0.23033333,0.26324216,-1.8241663,0.81295294,63.26459,0.18832913,-12.718311,0.0,18.391737,-6.7656665,-2.374,-10.424,0.0,0.39841673,0.41041663,0.38170838,0.38890672,-0.15941666,1.2327157,49.223583,0.2729316,-9.311934,0.0,21.980644,-18.5955,-11.458,-28.258,0.0,0.24700005,0.21999997,0.18800001,0.19884999,-13.808,0.339379,70.86181,0.08919102,-19.697289,0.0,21.194187
2005-01-07,-5.0054164,0.7175,-8.2825,0.0,0.34966668,0.34158337,0.23191659,0.26318923,-1.6116666,1.0370613,65.479385,0.29803395,-7.26614,0.0,17.163355,-0.3406664,6.526,-4.074,0.0,0.38724998,0.39983332,0.383,0.38683257,0.5718333,1.1672475,67.912315,0.39669007,-2.7490585,0.0,15.034041,-15.862167,-12.258,-20.258,0.0,0.24700005,0.21979165,0.18800001,0.19880623,-12.083001,0.25611484,76.54708,0.07674773,-17.009562,0.2,18.692286
2005-01-08,-2.7491663,4.3175,-9.8325,0.0,0.34441662,0.33833325,0.23341674,0.26321915,-1.3408335,1.0598841,68.51069,0.40505084,-5.0369334,0.0,22.91026,0.9218332,8.126,-4.574,0.0,0.38016665,0.39245835,0.38241664,0.38436794,1.4114169,1.2878996,77.483986,0.4983974,-1.0590714,0.0,21.2522,-15.878834,-10.858,-22.308,0.0,0.24700005,0.219,0.18800001,0.19864003,-11.247584,0.2905058,78.58119,0.081192076,-16.989515,0.2,21.313093
2005-01-09,5.0383334,14.0675,-1.0825,0.0,0.35341668,0.33579168,0.23466666,0.26421544,-0.09916671,1.4739072,76.914955,0.81956816,2.7409642,0.0,18.998314,9.705167,17.575998,3.976,0.0,0.374625,0.38637504,0.38137496,0.3819525,7.0801673,1.6901855,80.65777,0.9090493,7.572105,0.0,23.210928,-15.395504,-13.208,-18.758,1.9000001,0.24700005,0.219,0.18800001,0.19864003,-10.02675,0.22229972,80.92389,0.052786723,-16.429811,2.1,21.407139
2005-01-10,-2.5304165,-0.6825,-3.8825,0.0,0.35425004,0.33637497,0.23587503,0.26526627,-0.09291667,0.4643748,80.37025,0.16362104,-4.0774117,0.0,14.04,13.415584,18.376,8.526,0.0,0.37012503,0.38141668,0.37970838,0.37939623,10.411418,1.265233,87.416466,0.5413759,11.944145,0.0,26.099379,-19.058,-14.408,-25.758,0.0,0.24700005,0.219,0.18800001,0.19864003,-7.8871655,0.23383461,78.45455,0.05644162,-20.01975,0.0,15.072783
2005-01-11,-3.7012498,-2.4325001,-5.1825,0.0,0.3445833,0.33504167,0.23724999,0.26529956,-0.4491667,0.50504047,72.52508,0.17593941,-5.6577873,0.1,13.363711,6.303084,16.376,1.7260001,0.3,0.369,0.37787494,0.37841657,0.3776438,8.719751,0.50014776,88.28436,0.2506944,5.1506424,0.0,16.62249,-15.218418,-8.308001,-21.908,0.3,0.24700005,0.21849997,0.18800001,0.19853503,-6.7684174,0.24457474,82.247375,0.05958961,-16.206064,0.3,16.981165
2005-01-12,-0.5325001,4.5675,-4.2825,0.2,0.342875,0.33291665,0.23837495,0.2655438,-0.35125002,0.5461083,85.83138,0.18613479,-1.7144047,0.0,21.485697,14.626002,18.626,5.676,2.0,0.37491664,0.3759167,0.377,0.3766267,11.546833,1.4188629,82.24548,0.6239858,12.621673,0.0,29.337238,-9.858001,-7.958,-18.408,1.7,0.24700005,0.21799995,0.18800001,0.19843005,-4.9455,0.30335885,85.203606,0.060377687,-10.843171,1.9000001,32.682762
2005-01-13,-2.68875,1.0174999,-10.2825,0.0,0.3386666,0.33112496,0.23945826,0.26565298,-0.25125,1.4490063,54.71272,0.39561707,-5.565229,0.1,22.288042,2.1593335,6.526,-0.774,0.0,0.3724167,0.37529162,0.37558332,0.3753004,6.0968337,1.8089693,59.459545,0.5756841,-1.1141866,0.0,24.798223,-25.499664,-19.708,-29.608,0.0,0.24700005,0.21799995,0.18845831,0.19876005,-5.5892506,0.20692885,67.62804,0.0355388,-26.065598,0.0,30.953718
2005-01-14,-11.4075,-6.8824997,-15.4325,0.0,0.33274993,0.32875004,0.2404167,0.2654301,-1.5700002,0.9034939,43.731983,0.2403754,-13.321228,0.0,17.068707,-1.2823333,2.976,-4.474,0.0,0.36237505,0.37220833,0.37416673,0.37293005,2.351,1.248571,62.14478,0.40407366,-4.027817,0.0,11.792404,-29.576746,-24.858,-34.108,0.0,0.24700005,0.21799995,0.18899997,0.19915003,-6.9475837,0.16302375,65.9398,0.029863033,-29.812437,0.0,20.364674
