strategy,mean_npv_mEUR,p05_npv_mEUR,median_npv_mEUR,p95_npv_mEUR,mean_total_capex_mEUR,mean_gross_margin_2030,mean_gross_margin_2035,mean_lost_sales_pct_2025_2030,mean_lost_sales_pct_2030_2035,mean_total_lost_units,mean_total_delivered_units,mean_average_utilization,mean_max_backlog_units
A1_Backlog_cautious,22705.16877413342,20853.358831610654,22595.562528258728,24842.578243198626,4316.666666666667,60.0,60.0,0.0,4.704144945638227,28.986666666666668,687.4733333333334,69.98753086419754,87.0
A2_Backlog_balanced,22405.40715987972,20761.761057358224,22384.569193014846,23968.147811368908,5566.666666666667,60.0,60.0,0.0,3.5552708490128766,21.076666666666668,695.3833333333333,68.94506172839506,82.77333333333333
A3_Backlog_aggressive,22059.80831171968,20335.085292993488,21844.77289452623,24583.252405041498,7500.0,60.0,60.0,0.0,2.1050899103552076,12.066666666666666,704.3933333333333,66.30265432098766,71.5
A4_Demand_trigger,22339.08921266293,20372.6595432833,22258.39114396096,24701.98555793258,8333.333333333334,60.0,60.0,0.0,0.7866423143708218,4.77,711.69,63.815123456790126,47.32
A5_Combined_balanced,22019.453997811925,19795.260185690924,21845.342784686236,24631.177636234548,9050.0,60.0,60.0,0.0,0.7010733457664918,4.1033333333333335,712.3566666666667,62.65907407407407,46.24333333333333
A6_Combined_aggressive,21960.150026323925,19554.989724101448,21860.866553404197,24673.790303184793,9433.333333333334,60.0,60.0,0.0,0.4150497906092357,2.3633333333333333,714.0966666666667,60.95006172839506,36.403333333333336
S0_No_expansion,24247.24424632724,22820.6859772207,24384.20088590584,25250.536929611142,0.0,60.0,60.0,0.0,10.151833814023089,76.88333333333334,639.5766666666667,71.06407407407409,90.89333333333333
S1_Late_one_factory,23645.032228974917,22084.54926598442,23754.849467641063,24743.773181450142,5000.0,60.0,60.0,0.0,0.6945733558040514,4.866666666666666,711.5933333333334,67.5493827160494,61.53666666666667
S2_Balanced_one_factory,24682.888244118327,22055.216806699264,24907.828141972866,26505.499352356943,5000.0,60.0,60.0,0.0,0.02469261044807189,0.2866666666666667,716.1733333333333,63.449506172839506,20.246666666666666
S3_Early_one_factory,24335.41207172575,21509.705599237026,24378.602966745202,26821.058349980536,5000.0,60.0,60.0,0.0,0.0,0.02666666666666667,716.4333333333333,59.16469135802469,14.576666666666666
S4_Staged_two_factories,21597.306258322064,18426.07521661282,21640.669837616337,24741.75422708446,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,54.276728395061724,6.153333333333333
S5_Aggressive_two_factories,21151.494049271398,17958.38728154574,21186.22409418549,24312.55856699772,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,51.25351851851852,3.06
