strategy,scenario_id,npv_mEUR,total_revenue_mEUR,total_gross_profit_mEUR,total_ebit_mEUR,total_free_cash_flow_mEUR,total_capex_mEUR,total_demand_units,total_delivered_units,total_lost_units,lost_sales_pct_2025_2030,lost_sales_pct_2030_2035,gross_margin_2030,gross_margin_2035,average_utilization,max_ending_backlog_units
A1_Backlog_cautious,1,22181.096051726156,140200.0,84120.0,55982.0,41655.420000000006,5000.0,735.0,701.0,34.0,0.0,0.06031128404669261,0.6,0.6,0.7122222222222222,96.0
A1_Backlog_cautious,2,23189.543549820726,140600.0,84360.0,55896.0,41835.76,5000.0,706.0,703.0,3.0,0.0,0.00641025641025641,0.6,0.6,0.6937037037037037,91.0
A1_Backlog_cautious,3,21251.970389913527,135400.0,81240.0,54014.0,40061.34,5000.0,713.0,677.0,36.0,0.0,0.07114624505928854,0.6,0.6,0.6881481481481482,94.0
A1_Backlog_cautious,4,21831.046005951648,135800.0,81480.0,54178.0,40194.18,5000.0,693.0,679.0,14.0,0.0,0.029535864978902954,0.6,0.6,0.6933333333333334,81.0
A1_Backlog_cautious,5,21799.350612814575,133800.0,80280.0,53358.0,39529.979999999996,5000.0,697.0,669.0,28.0,0.0,0.058091286307053944,0.6,0.6,0.6862962962962962,84.0
A1_Backlog_cautious,6,20983.227481656148,131800.0,79080.0,52538.0,38865.78,5000.0,693.0,659.0,34.0,0.0,0.06896551724137931,0.6,0.6,0.6733333333333333,93.0
A1_Backlog_cautious,7,20670.813586668366,133800.0,80280.0,53358.0,39529.979999999996,5000.0,681.0,669.0,12.0,0.0,0.024844720496894408,0.6,0.6,0.6785185185185186,89.0
A1_Backlog_cautious,8,22299.10664984616,141000.0,84600.0,56310.0,41921.1,5000.0,786.0,705.0,81.0,0.0,0.1400359066427289,0.6,0.6,0.7166666666666667,112.0
A1_Backlog_cautious,9,22006.81640543015,134600.0,80760.0,53686.0,39795.659999999996,5000.0,673.0,673.0,0.0,0.0,0.0,0.6,0.6,0.6903703703703703,76.0
A1_Backlog_cautious,10,23071.21934809978,142200.0,85320.0,56802.0,42319.61999999999,5000.0,734.0,711.0,23.0,0.0,0.0465587044534413,0.6,0.6,0.725925925925926,83.0
A1_Backlog_cautious,11,20687.12611093698,134800.0,80880.0,53768.0,39862.08,5000.0,718.0,674.0,44.0,0.0,0.07279693486590039,0.6,0.6,0.6822222222222223,104.0
A1_Backlog_cautious,12,21129.604202818577,135000.0,81000.0,53850.0,39928.5,5000.0,760.0,675.0,85.0,0.0,0.1526032315978456,0.6,0.6,0.6862962962962963,106.0
A1_Backlog_cautious,13,20855.918306345386,133200.0,79920.0,53112.0,39330.72,5000.0,733.0,666.0,67.0,0.0,0.1252336448598131,0.6,0.6,0.6777777777777778,100.0
A1_Backlog_cautious,14,21383.96178684255,134600.0,80760.0,53686.0,39795.65999999999,5000.0,675.0,673.0,2.0,0.0,0.004347826086956522,0.6,0.6,0.6855555555555557,92.0
A1_Backlog_cautious,15,22542.465953020655,135200.0,81120.0,53932.0,39994.92,5000.0,676.0,676.0,0.0,0.0,0.0,0.6,0.6,0.6966666666666667,57.0
A1_Backlog_cautious,16,23130.952995242616,137400.0,82440.0,54834.0,40725.53999999999,5000.0,708.0,687.0,21.0,0.0,0.0455531453362256,0.6,0.6,0.7085185185185185,76.0
A1_Backlog_cautious,17,22294.59999608367,140600.0,84360.0,56146.0,41788.259999999995,5000.0,738.0,703.0,35.0,0.0,0.0684931506849315,0.6,0.6,0.7148148148148149,95.0
A1_Backlog_cautious,18,23032.95376069827,143400.0,86040.0,57294.0,42718.14,5000.0,818.0,717.0,101.0,0.0,0.1453287197231834,0.6,0.6,0.73,113.0
A1_Backlog_cautious,19,21049.881671979187,131200.0,78720.0,52292.0,38666.520000000004,5000.0,694.0,656.0,38.0,0.0,0.07707910750507099,0.6,0.6,0.6711111111111111,97.0
