strategy,mean_npv_mEUR,p05_npv_mEUR,median_npv_mEUR,p95_npv_mEUR,mean_total_capex_mEUR,mean_gross_margin_2030,mean_gross_margin_2035,mean_lost_sales_pct_2025_2030,mean_lost_sales_pct_2030_2035,mean_total_lost_units,mean_total_delivered_units,mean_average_utilization,mean_max_backlog_units,export_tariff_pct,tariff_paid_by_asml_pct
S0_No_expansion,24247.24424632724,22820.6859772207,24384.20088590584,25250.536929611142,0.0,60.0,60.0,0.0,10.151833814023089,76.88333333333334,639.5766666666667,71.06407407407409,90.89333333333333,0.0,0.0
S1_Late_one_factory,23645.032228974917,22084.54926598442,23754.849467641063,24743.773181450142,5000.0,60.0,60.0,0.0,0.6945733558040514,4.866666666666666,711.5933333333334,67.5493827160494,61.53666666666667,0.0,0.0
S2_Balanced_one_factory,24682.888244118327,22055.216806699264,24907.828141972866,26505.499352356943,5000.0,60.0,60.0,0.0,0.02469261044807189,0.2866666666666667,716.1733333333333,63.449506172839506,20.246666666666666,0.0,0.0
S3_Early_one_factory,24335.41207172575,21509.705599237026,24378.602966745202,26821.058349980536,5000.0,60.0,60.0,0.0,0.0,0.02666666666666667,716.4333333333333,59.16469135802469,14.576666666666666,0.0,0.0
S4_Staged_two_factories,21597.306258322064,18426.07521661282,21640.669837616337,24741.75422708446,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,54.276728395061724,6.153333333333333,0.0,0.0
S5_Aggressive_two_factories,21151.494049271398,17958.38728154574,21186.22409418549,24312.55856699772,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,51.25351851851852,3.06,0.0,0.0
S0_No_expansion,24247.24424632724,22820.6859772207,24384.20088590584,25250.536929611142,0.0,60.0,60.0,0.0,10.151833814023089,76.88333333333334,639.5766666666667,71.06407407407409,90.89333333333333,0.0,0.5
S1_Late_one_factory,23645.032228974917,22084.54926598442,23754.849467641063,24743.773181450142,5000.0,60.0,60.0,0.0,0.6945733558040514,4.866666666666666,711.5933333333334,67.5493827160494,61.53666666666667,0.0,0.5
S2_Balanced_one_factory,24682.888244118327,22055.216806699264,24907.828141972866,26505.499352356943,5000.0,60.0,60.0,0.0,0.02469261044807189,0.2866666666666667,716.1733333333333,63.449506172839506,20.246666666666666,0.0,0.5
S3_Early_one_factory,24335.41207172575,21509.705599237026,24378.602966745202,26821.058349980536,5000.0,60.0,60.0,0.0,0.0,0.02666666666666667,716.4333333333333,59.16469135802469,14.576666666666666,0.0,0.5
S4_Staged_two_factories,21597.306258322064,18426.07521661282,21640.669837616337,24741.75422708446,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,54.276728395061724,6.153333333333333,0.0,0.5
S5_Aggressive_two_factories,21151.494049271398,17958.38728154574,21186.22409418549,24312.55856699772,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,51.25351851851852,3.06,0.0,0.5
S0_No_expansion,24247.24424632724,22820.6859772207,24384.20088590584,25250.536929611142,0.0,60.0,60.0,0.0,10.151833814023089,76.88333333333334,639.5766666666667,71.06407407407409,90.89333333333333,0.0,1.0
S1_Late_one_factory,23645.032228974917,22084.54926598442,23754.849467641063,24743.773181450142,5000.0,60.0,60.0,0.0,0.6945733558040514,4.866666666666666,711.5933333333334,67.5493827160494,61.53666666666667,0.0,1.0
S2_Balanced_one_factory,24682.888244118327,22055.216806699264,24907.828141972866,26505.499352356943,5000.0,60.0,60.0,0.0,0.02469261044807189,0.2866666666666667,716.1733333333333,63.449506172839506,20.246666666666666,0.0,1.0
S3_Early_one_factory,24335.41207172575,21509.705599237026,24378.602966745202,26821.058349980536,5000.0,60.0,60.0,0.0,0.0,0.02666666666666667,716.4333333333333,59.16469135802469,14.576666666666666,0.0,1.0
S4_Staged_two_factories,21597.306258322064,18426.07521661282,21640.669837616337,24741.75422708446,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,54.276728395061724,6.153333333333333,0.0,1.0
S5_Aggressive_two_factories,21151.494049271398,17958.38728154574,21186.22409418549,24312.55856699772,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,51.25351851851852,3.06,0.0,1.0
S0_No_expansion,24247.24424632724,22820.6859772207,24384.20088590584,25250.536929611142,0.0,60.0,60.0,0.0,10.151833814023089,76.88333333333334,639.5766666666667,71.06407407407409,90.89333333333333,0.1,0.0
S1_Late_one_factory,23645.032228974917,22084.54926598442,23754.849467641063,24743.773181450142,5000.0,60.0,60.0,0.0,0.6945733558040514,4.866666666666666,711.5933333333334,67.5493827160494,61.53666666666667,0.1,0.0
S2_Balanced_one_factory,24682.888244118327,22055.216806699264,24907.828141972866,26505.499352356943,5000.0,60.0,60.0,0.0,0.02469261044807189,0.2866666666666667,716.1733333333333,63.449506172839506,20.246666666666666,0.1,0.0
S3_Early_one_factory,24335.41207172575,21509.705599237026,24378.602966745202,26821.058349980536,5000.0,60.0,60.0,0.0,0.0,0.02666666666666667,716.4333333333333,59.16469135802469,14.576666666666666,0.1,0.0
S4_Staged_two_factories,21597.306258322064,18426.07521661282,21640.669837616337,24741.75422708446,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,54.276728395061724,6.153333333333333,0.1,0.0
S5_Aggressive_two_factories,21151.494049271398,17958.38728154574,21186.22409418549,24312.55856699772,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,51.25351851851852,3.06,0.1,0.0
S0_No_expansion,21119.615483212856,19872.17212722582,21239.37620648681,21996.937369725605,0.0,55.00000000000001,55.00000000000001,0.0,10.151833814023089,76.88333333333334,639.5766666666667,71.06407407407409,90.89333333333333,0.1,0.5
S1_Late_one_factory,20166.727098985182,18799.43302782952,20260.014718870687,21124.7717660131,5000.0,55.00000000000001,55.00000000000001,0.0,0.6945733558040514,4.866666666666666,711.5933333333334,67.5493827160494,61.53666666666667,0.1,0.5
S2_Balanced_one_factory,21020.64516917015,18723.61640013193,21211.586956145835,22606.57855153861,5000.0,55.00000000000001,55.00000000000001,0.0,0.02469261044807189,0.2866666666666667,716.1733333333333,63.449506172839506,20.246666666666666,0.1,0.5
S3_Early_one_factory,20648.58622141407,18178.105192669693,20678.23673949512,22814.02383357571,5000.0,55.00000000000001,55.00000000000001,0.0,0.0,0.02666666666666667,716.4333333333333,59.16469135802469,14.576666666666666,0.1,0.5
