delivery_year,market_cycle,delivery_demand_units,order_year,orders_placed_units,scenario_id,latest_historical_year,starting_historical_demand_units,is_extension_year
2026,upturn,54,2025,54,1,2025,48.0,False
2027,upturn,58,2026,58,1,2025,48.0,False
2028,downturn,55,2027,55,1,2025,48.0,False
2029,upturn,54,2028,54,1,2025,48.0,False
2030,upturn,64,2029,64,1,2025,48.0,False
2031,downturn,74,2030,74,1,2025,48.0,False
2032,upturn,91,2031,91,1,2025,48.0,False
2033,upturn,96,2032,96,1,2025,48.0,False
2034,downturn,96,2033,96,1,2025,48.0,False
2035,upturn,93,2034,93,1,2025,48.0,False
2026,downturn,47,2025,47,2,2025,48.0,False
2027,upturn,60,2026,60,2,2025,48.0,False
2028,upturn,68,2027,68,2,2025,48.0,False
2029,downturn,63,2028,63,2,2025,48.0,False
2030,upturn,66,2029,66,2,2025,48.0,False
2031,upturn,93,2030,93,2,2025,48.0,False
2032,downturn,72,2031,72,2,2025,48.0,False
2033,upturn,91,2032,91,2,2025,48.0,False
2034,upturn,78,2033,78,2,2025,48.0,False
2035,downturn,68,2034,68,2,2025,48.0,False
2026,downturn,47,2025,47,3,2025,48.0,False
2027,upturn,52,2026,52,3,2025,48.0,False
2028,upturn,55,2027,55,3,2025,48.0,False
2029,downturn,53,2028,53,3,2025,48.0,False
2030,upturn,57,2029,57,3,2025,48.0,False
2031,upturn,101,2030,101,3,2025,48.0,False
2032,downturn,82,2031,82,3,2025,48.0,False
2033,upturn,89,2032,89,3,2025,48.0,False
2034,upturn,94,2033,94,3,2025,48.0,False
2035,downturn,83,2034,83,3,2025,48.0,False
2026,upturn,53,2025,53,4,2025,48.0,False
2027,upturn,56,2026,56,4,2025,48.0,False
2028,downturn,53,2027,53,4,2025,48.0,False
2029,upturn,57,2028,57,4,2025,48.0,False
2030,upturn,55,2029,55,4,2025,48.0,False
2031,downturn,77,2030,77,4,2025,48.0,False
2032,upturn,89,2031,89,4,2025,48.0,False
2033,upturn,88,2032,88,4,2025,48.0,False
2034,downturn,81,2033,81,4,2025,48.0,False
2035,upturn,84,2034,84,4,2025,48.0,False
2026,downturn,49,2025,49,5,2025,48.0,False
